,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
138,Mid-Cap Growth,AMG Funds,148.53M,20.46%,0.00%,★,"Oct 30, 2000",0.00,0.00,167.00%,N/A,BWAFX,1.13%,1.13%,1.13%,N/A,N/A,N/A,359,622,"1,375",True
139,Mid-Cap Growth,PGIM Funds (Prudential),3.35B,30.27%,0.00%,★★★,"Dec 30, 1996",0.00,0.00,36.00%,N/A,PEGZX,0.80%,0.80%,0.80%,N/A,N/A,N/A,255,444,990,True
140,Mid-Cap Growth,Goldman Sachs,1.3B,26.68%,0.00%,★★★,"May 23, 1999",0.00,0.00,60.00%,N/A,GGOAX,1.24%,1.24%,1.37%,0.25%,5.50%,N/A,947,"1,246","2,094",True
141,Mid-Cap Growth,JPMorgan,2.71B,21.70%,0.42%,★★★,"Dec 30, 1996",0.00,0.00,34.00%,N/A,VSNGX,0.89%,0.89%,1.01%,N/A,N/A,N/A,310,546,"1,225",True
142,Mid-Cap Growth,Congress,1.06B,22.53%,0.00%,★★★,"Oct 30, 2012",0.00,0.00,44.00%,N/A,CMIDX,1.08%,1.08%,1.08%,0.25%,N/A,N/A,343,595,"1,317",True
143,Mid-Cap Growth,Tocqueville,91.56M,36.70%,0.00%,★★★,"Jul 31, 1994",0.00,0.00,151.00%,N/A,TOPPX,1.27%,1.27%,1.34%,0.25%,N/A,N/A,418,727,"1,607",True
144,Mid-Cap Growth,Alger,189.73M,29.74%,0.00%,★★,"Dec 30, 1996",0.00,0.00,125.34%,N/A,AMGAX,1.30%,1.30%,1.30%,0.25%,5.25%,N/A,915,"1,200","2,010",True
145,Mid-Cap Growth,Aquila,313.4M,26.96%,0.00%,★★★,"Jul 21, 1994",0.00,0.00,123.00%,N/A,ATGAX,1.42%,1.42%,1.42%,0.30%,4.25%,N/A,855,"1,168","2,055",True
146,Mid-Cap Growth,Needham,94.59M,25.26%,0.00%,★★,"Dec 29, 2016",0.00,0.00,8.00%,N/A,NEEIX,2.21%,2.21%,2.48%,N/A,N/A,N/A,747,"1,296","2,796",True
147,Mid-Cap Growth,Federated,6.83B,28.17%,0.00%,★★★★,"Apr 23, 2001",0.00,0.00,33.00%,N/A,KAUAX,1.98%,1.98%,2.02%,0.25%,5.50%,N/A,"1,149","1,578","2,769",True
